COMUNA,TIPO DE ACCIDENTE,GRAVEDAD,MES,DIA SEMANA,NUMERO ACCIDENTE
Aranjuez,Atropello,HERIDO,05,JUEVES   ,7
Corregimiento de San Cristobal,Choque,SOLO DANOS,12,SABADO   ,1
Guayabal,Caida ocupante,HERIDO,08,MIERCOLES,7
Villa Hermosa,Choque,HERIDO,02,DOMINGO  ,13
Corregimiento de San Cristobal,Choque,HERIDO,04,DOMINGO  ,5
Laureles Estadio,Atropello,HERIDO,11,SABADO   ,10
Robledo,Choque,HERIDO,05,DOMINGO  ,20
La Candelaria,Choque,SOLO DANOS,09,MIERCOLES,187
Villa Hermosa,Volcamiento,HERIDO,12,SABADO   ,2
Corregimiento de San Cristobal,Volcamiento,HERIDO,08,JUEVES   ,0
Corregimiento de San Antonio de Prado,Choque,HERIDO,03,VIERNES  ,2
Corregimiento de Altavista,Choque,HERIDO,12,VIERNES  ,0
Corregimiento de San Cristobal,Otro,HERIDO,10,MARTES   ,1
Guayabal,Choque,MUERTO,12,MARTES   ,0
San Javier,Choque,HERIDO,09,MARTES   ,11
Robledo,Atropello,HERIDO,02,LUNES    ,9
Villa Hermosa,Caida ocupante,HERIDO,02,MARTES   ,1
Villa Hermosa,Caida ocupante,HERIDO,10,LUNES    ,8
La Candelaria,Caida ocupante,HERIDO,04,LUNES    ,16
El Poblado,Atropello,HERIDO,10,MARTES   ,5
Santa Cruz,Choque,HERIDO,11,VIERNES  ,2
Laureles Estadio,Choque,HERIDO,09,MIERCOLES,45
Guayabal,Caida ocupante,HERIDO,03,LUNES    ,13
Villa Hermosa,Otro,HERIDO,06,SABADO   ,4
Buenos Aires,Choque,HERIDO,06,JUEVES   ,14
San Javier,Otro,HERIDO,01,VIERNES  ,0
Guayabal,Choque,HERIDO,05,MIERCOLES,28
Laureles Estadio,Caida ocupante,HERIDO,02,MIERCOLES,8
Doce de Octubre,Otro,HERIDO,02,DOMINGO  ,5
La America,Choque,SOLO DANOS,09,DOMINGO  ,13
Belen,Otro,HERIDO,08,MARTES   ,8
Belen,Choque,HERIDO,10,MARTES   ,25
La Candelaria,Choque,SOLO DANOS,04,LUNES    ,194
Doce de Octubre,Caida ocupante,HERIDO,03,VIERNES  ,8
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,07,VIERNES  ,3
Manrique,Atropello,HERIDO,01,MARTES   ,6
AU,Choque,SOLO DANOS,04,LUNES    ,0
Castilla,Caida ocupante,HERIDO,07,JUEVES   ,11
Santa Cruz,Choque,HERIDO,02,MIERCOLES,5
Corregimiento de San Cristobal,Atropello,HERIDO,08,DOMINGO  ,1
Popular,Caida ocupante,HERIDO,07,LUNES    ,2
Buenos Aires,Choque,SOLO DANOS,07,MIERCOLES,17
Corregimiento de San Cristobal,Caida ocupante,HERIDO,01,MIERCOLES,1
Robledo,Atropello,HERIDO,04,SABADO   ,11
Guayabal,Otro,HERIDO,08,LUNES    ,13
Castilla,Choque,HERIDO,09,JUEVES   ,45
Belen,Otro,SOLO DANOS,02,JUEVES   ,0
Santa Cruz,Atropello,HERIDO,10,JUEVES   ,3
Buenos Aires,Caida ocupante,HERIDO,06,VIERNES  ,3
El Poblado,Choque,SOLO DANOS,01,VIERNES  ,62
San Javier,Atropello,HERIDO,03,DOMINGO  ,5
La Candelaria,Volcamiento,HERIDO,10,VIERNES  ,6
Villa Hermosa,Caida ocupante,HERIDO,12,SABADO   ,4
Robledo,Volcamiento,HERIDO,09,DOMINGO  ,4
Buenos Aires,Otro,HERIDO,06,JUEVES   ,5
Doce de Octubre,Volcamiento,HERIDO,02,VIERNES  ,1
Villa Hermosa,Choque,SOLO DANOS,07,MARTES   ,13
