COMUNA,TIPO DE ACCIDENTE,GRAVEDAD,MES,DIA SEMANA,NUMERO ACCIDENTE
Castilla,Caida ocupante,HERIDO,06,MIERCOLES,16
Robledo,Atropello,MUERTO,01,LUNES    ,0
Guayabal,Volcamiento,HERIDO,01,JUEVES   ,3
Villa Hermosa,Caida ocupante,HERIDO,03,VIERNES  ,4
Popular,Caida ocupante,HERIDO,11,VIERNES  ,0
Doce de Octubre,Volcamiento,HERIDO,10,MARTES   ,0
Otro,Otro,HERIDO,02,LUNES    ,0
Otro,Choque,SOLO DANOS,03,DOMINGO  ,1
Corregimiento de San Antonio de Prado,Choque,HERIDO,04,JUEVES   ,3
Manrique,Volcamiento,HERIDO,12,MIERCOLES,0
Guayabal,Otro,HERIDO,12,VIERNES  ,21
Doce de Octubre,Caida ocupante,HERIDO,08,LUNES    ,7
Aranjuez,Volcamiento,HERIDO,02,MARTES   ,2
Buenos Aires,Choque,SOLO DANOS,03,DOMINGO  ,27
Buenos Aires,Otro,HERIDO,05,MIERCOLES,9
Aranjuez,Volcamiento,HERIDO,10,LUNES    ,2
Guayabal,Atropello,HERIDO,05,LUNES    ,4
El Poblado,Caida ocupante,HERIDO,10,JUEVES   ,11
Santa Cruz,Choque,HERIDO,12,JUEVES   ,6
Belen,Otro,HERIDO,09,VIERNES  ,13
Corregimiento de San Cristobal,Otro,HERIDO,02,MIERCOLES,0
La America,Otro,SOLO DANOS,03,VIERNES  ,0
La America,Caida ocupante,HERIDO,11,SABADO   ,2
Cuarta Brigada,Choque,MUERTO,04,SABADO   ,0
Otro,Atropello,HERIDO,10,MIERCOLES,0
Doce de Octubre,Atropello,HERIDO,05,JUEVES   ,9
Corregimiento de Altavista,Atropello,HERIDO,06,SABADO   ,0
Santa Cruz,Volcamiento,HERIDO,12,VIERNES  ,0
El Poblado,Atropello,HERIDO,02,MIERCOLES,0
San Javier,Otro,HERIDO,02,JUEVES   ,0
Manrique,Atropello,HERIDO,02,VIERNES  ,7
Doce de Octubre,Otro,HERIDO,02,MARTES   ,5
Belen,Volcamiento,HERIDO,01,LUNES    ,6
La America,Choque,SOLO DANOS,09,MARTES   ,20
Doce de Octubre,Otro,HERIDO,10,LUNES    ,6
Villa Hermosa,Choque,HERIDO,12,SABADO   ,12
Bombona No. 1,Atropello,MUERTO,06,SABADO   ,0
Doce de Octubre,Caida ocupante,HERIDO,04,JUEVES   ,4
El Poblado,Choque,HERIDO,05,MIERCOLES,25
Laureles Estadio,Volcamiento,HERIDO,10,MARTES   ,4
Corregimiento de San Cristobal,Atropello,HERIDO,08,MARTES   ,0
El Poblado,Volcamiento,HERIDO,07,LUNES    ,2
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,08,JUEVES   ,5
Buenos Aires,Caida ocupante,MUERTO,05,VIERNES  ,0
San Javier,Otro,HERIDO,08,SABADO   ,5
Belen,Choque,HERIDO,02,MIERCOLES,26
Villa Hermosa,Choque,SOLO DANOS,08,VIERNES  ,15
San Javier,Choque,SOLO DANOS,12,DOMINGO  ,9
Santa Cruz,Volcamiento,HERIDO,03,MIERCOLES,1
Aranjuez,Volcamiento,HERIDO,12,SABADO   ,1
Popular,Choque,HERIDO,04,LUNES    ,2
Buenos Aires,Caida ocupante,HERIDO,07,JUEVES   ,3
Aranjuez,Otro,HERIDO,06,VIERNES  ,8
El Poblado,Volcamiento,SOLO DANOS,02,LUNES    ,0
El Poblado,Choque,SOLO DANOS,02,JUEVES   ,96
San Javier,Atropello,HERIDO,03,MARTES   ,2
La America,Atropello,MUERTO,03,DOMINGO  ,0
Robledo,Volcamiento,HERIDO,09,MARTES   ,2
San Javier,Atropello,HERIDO,11,LUNES    ,3
La Candelaria,Volcamiento,HERIDO,11,JUEVES   ,10
Doce de Octubre,Volcamiento,HERIDO,03,JUEVES   ,0
Corregimiento de San Cristobal,Choque,SOLO DANOS,10,MIERCOLES,3
La Candelaria,Choque,MUERTO,09,MARTES   ,0
La America,Volcamiento,HERIDO,01,VIERNES  ,2
Corregimiento de San Antonio de Prado,Caida ocupante,HERIDO,06,MARTES   ,2
La America,Atropello,HERIDO,04,MARTES   ,3
La America,Atropello,HERIDO,12,LUNES    ,1
Laureles Estadio,Atropello,HERIDO,07,VIERNES  ,15
San Javier,Volcamiento,HERIDO,03,DOMINGO  ,0
Villa Hermosa,Atropello,HERIDO,10,LUNES    ,7
La America,Choque,HERIDO,05,LUNES    ,13
Robledo,Otro,HERIDO,06,LUNES    ,15
Villa Hermosa,Volcamiento,HERIDO,08,VIERNES  ,6
Doce de Octubre,Otro,HERIDO,12,SABADO   ,8
San Javier,Caida ocupante,HERIDO,04,MIERCOLES,3
El Poblado,Otro,HERIDO,04,DOMINGO  ,4
Aranjuez,Caida ocupante,HERIDO,07,JUEVES   ,6
El Poblado,Volcamiento,HERIDO,09,SABADO   ,2
Corregimiento de San Antonio de Prado,Volcamiento,HERIDO,06,DOMINGO  ,0
MUERTO,Atropello,Malla vial,11,MARTES   ,0
Buenos Aires,Atropello,HERIDO,10,SABADO   ,6
Castilla,Choque,SOLO DANOS,06,JUEVES   ,66
In,Choque,SOLO DANOS,11,MIERCOLES,2
Corregimiento de Santa Elena,Choque,SOLO DANOS,09,DOMINGO  ,0
Robledo,Atropello,HERIDO,11,VIERNES  ,6
Popular,Choque,HERIDO,06,SABADO   ,1
Villa Hermosa,Otro,HERIDO,04,MIERCOLES,10
La America,Choque,HERIDO,01,JUEVES   ,8
Laureles Estadio,Choque,SOLO DANOS,06,VIERNES  ,104
La America,Caida ocupante,HERIDO,06,MARTES   ,6
Santa Cruz,Otro,HERIDO,04,MARTES   ,0
Manrique,Choque,HERIDO,06,LUNES    ,10
Santa Cruz,Otro,HERIDO,12,LUNES    ,0
El Poblado,Otro,SOLO DANOS,04,MIERCOLES,0
Villa Hermosa,Choque,MUERTO,06,DOMINGO  ,0
Guayabal,Caida ocupante,HERIDO,12,VIERNES  ,6
La America,Choque,HERIDO,07,SABADO   ,16
Robledo,Otro,HERIDO,08,SABADO   ,14
Castilla,Choque,HERIDO,06,SABADO   ,31
Robledo,Choque,SOLO DANOS,02,JUEVES   ,23
Villa Hermosa,Choque,HERIDO,07,MARTES   ,11
Corregimiento de San Cristobal,Choque,HERIDO,09,MARTES   ,3
Corregimiento de San Cristobal,Volcamiento,HERIDO,07,LUNES    ,0
Aranjuez,Choque,SOLO DANOS,02,JUEVES   ,37
Corregimiento de Altavista,Choque,HERIDO,04,DOMINGO  ,0
La Candelaria,Atropello,MUERTO,01,DOMINGO  ,2
Villa Hermosa,Caida ocupante,HERIDO,08,VIERNES  ,5
Otro,Choque,SOLO DANOS,08,DOMINGO  ,0
Corregimiento de San Antonio de Prado,Choque,HERIDO,09,JUEVES   ,2
Buenos Aires,Volcamiento,HERIDO,01,MARTES   ,3
El Poblado,Caida ocupante,HERIDO,01,DOMINGO  ,3
La America,Caida ocupante,HERIDO,10,JUEVES   ,8
La Candelaria,Volcamiento,SOLO DANOS,05,MARTES   ,1
Guayabal,Otro,HERIDO,01,SABADO   ,6
Santa Cruz,Choque,HERIDO,03,DOMINGO  ,3
Los Conquistadores,Atropello,Malla vial aproximada: CR 64-42,12,VIERNES  ,0
La Candelaria,Atropello,HERIDO,02,MARTES   ,26
Aranjuez,Volcamiento,HERIDO,07,MARTES   ,2
Buenos Aires,Choque,SOLO DANOS,08,DOMINGO  ,26
La Candelaria,Atropello,HERIDO,10,LUNES    ,13
Corregimiento de San Antonio de Prado,Atropello,HERIDO,09,LUNES    ,0
Corregimiento de San Cristobal,Caida ocupante,HERIDO,02,DOMINGO  ,3
Laureles Estadio,Otro,HERIDO,11,MIERCOLES,15
Laureles Estadio,Otro,SOLO DANOS,11,VIERNES  ,0
Buenos Aires,Choque,HERIDO,05,LUNES    ,10
Villa Hermosa,Choque,HERIDO,11,JUEVES   ,4
Corregimiento de San Cristobal,Otro,HERIDO,07,MIERCOLES,1
Manrique,Choque,HERIDO,08,SABADO   ,17
San Javier,Caida ocupante,HERIDO,01,SABADO   ,2
Popular,Choque,HERIDO,12,MARTES   ,1
El Poblado,Atropello,HERIDO,07,MIERCOLES,7
San Javier,Otro,HERIDO,07,JUEVES   ,5
Castilla,Choque,MUERTO,11,DOMINGO  ,0
Belen,Volcamiento,HERIDO,06,LUNES    ,0
Doce de Octubre,Otro,HERIDO,07,MARTES   ,7
Castilla,Caida ocupante,HERIDO,06,LUNES    ,6
Corregimiento de San Cristobal,Volcamiento,HERIDO,09,SABADO   ,0
Aranjuez,Atropello,HERIDO,01,JUEVES   ,18
Doce de Octubre,Caida ocupante,HERIDO,09,JUEVES   ,6
Popular,Choque,SOLO DANOS,12,JUEVES   ,4
Aranjuez,Volcamiento,HERIDO,11,JUEVES   ,2
Manrique,Volcamiento,HERIDO,04,MARTES   ,1
Manrique,Volcamiento,HERIDO,12,LUNES    ,1
Belen,Caida ocupante,HERIDO,12,VIERNES  ,8
Castilla,Choque,HERIDO,12,MARTES   ,36
Santa Cruz,Atropello,HERIDO,01,MARTES   ,4
Robledo,Choque,HERIDO,01,DOMINGO  ,20
La Candelaria,Volcamiento,HERIDO,02,DOMINGO  ,1
Belen,Choque,HERIDO,07,MIERCOLES,24
Buenos Aires,Otro,HERIDO,05,LUNES    ,8
Buenos Aires,Atropello,HERIDO,05,MARTES   ,1
Buenos Aires,Volcamiento,HERIDO,11,SABADO   ,2
La Candelaria,Atropello,HERIDO,12,SABADO   ,41
Santa Cruz,Volcamiento,HERIDO,08,MIERCOLES,0
Popular,Choque,HERIDO,09,LUNES    ,0
San Javier,Atropello,HERIDO,08,MARTES   ,0
El Poblado,Volcamiento,SOLO DANOS,07,LUNES    ,2
El Poblado,Choque,SOLO DANOS,07,JUEVES   ,89
Santa Cruz,Caida ocupante,HERIDO,01,VIERNES  ,1
Belen,Volcamiento,HERIDO,02,JUEVES   ,1
Doce de Octubre,Otro,HERIDO,11,JUEVES   ,7
El Poblado,Atropello,HERIDO,02,LUNES    ,6
Popular,Otro,HERIDO,05,DOMINGO  ,6
Corregimiento de Altavista,Otro,HERIDO,05,LUNES    ,0
Belen,Caida ocupante,HERIDO,03,MIERCOLES,7
Laureles Estadio,Choque,HERIDO,05,MIERCOLES,40
Robledo,Choque,MUERTO,04,MIERCOLES,0
Villa Hermosa,Atropello,HERIDO,07,MARTES   ,6
Aranjuez,Caida ocupante,HERIDO,10,DOMINGO  ,6
El Poblado,Volcamiento,HERIDO,08,JUEVES   ,2
Otro,Volcamiento,HERIDO,03,DOMINGO  ,1
Belen,Atropello,HERIDO,10,SABADO   ,3
Belen,Volcamiento,HERIDO,08,SABADO   ,2
El Poblado,Choque,HERIDO,05,LUNES    ,26
San Javier,Caida ocupante,HERIDO,09,MIERCOLES,1
AU,Caida ocupante,HERIDO,12,JUEVES   ,0
El Poblado,Otro,HERIDO,09,DOMINGO  ,6
La America,Choque,SOLO DANOS,05,DOMINGO  ,16
Popular,Choque,HERIDO,05,JUEVES   ,1
Popular,Atropello,HERIDO,06,MARTES   ,1
El Poblado,Volcamiento,SOLO DANOS,03,JUEVES   ,0
Belen,Choque,HERIDO,02,LUNES    ,19
Belen,Choque,MUERTO,07,JUEVES   ,0
Otro,Choque,SOLO DANOS,03,MIERCOLES,3
Santa Cruz,Atropello,HERIDO,11,SABADO   ,1
Buenos Aires,Otro,HERIDO,07,SABADO   ,10
Buenos Aires,Choque,SOLO DANOS,03,MIERCOLES,17
Belen,Choque,SOLO DANOS,11,MIERCOLES,48
Villa Hermosa,Otro,HERIDO,09,MIERCOLES,2
La America,Choque,HERIDO,06,JUEVES   ,5
Castilla,Choque,HERIDO,05,JUEVES   ,41
La Candelaria,Caida ocupante,HERIDO,02,SABADO   ,27
Campo Amor,Caida ocupante,Malla vial,10,SABADO   ,0
El Poblado,Atropello,HERIDO,04,SABADO   ,2
San Javier,Choque,SOLO DANOS,09,VIERNES  ,13
Santa Cruz,Otro,HERIDO,09,MARTES   ,2
San Javier,Caida ocupante,HERIDO,04,LUNES    ,0
Doce de Octubre,Choque,HERIDO,05,VIERNES  ,10
Castilla,Volcamiento,SOLO DANOS,09,MARTES   ,0
Guayabal,Caida ocupante,HERIDO,01,SABADO   ,8
Aranjuez,Otro,HERIDO,01,MARTES   ,7
Doce de Octubre,Atropello,HERIDO,12,DOMINGO  ,8
El Poblado,Choque,HERIDO,07,SABADO   ,28
Manrique,Choque,SOLO DANOS,11,MIERCOLES,6
Corregimiento de Santa Elena,Choque,SOLO DANOS,01,SABADO   ,1
Corregimiento de Santa Elena,Volcamiento,HERIDO,01,VIERNES  ,1
Robledo,Atropello,HERIDO,07,MIERCOLES,7
Castilla,Otro,HERIDO,05,DOMINGO  ,14
La Candelaria,Choque,SOLO DANOS,02,SABADO   ,138
Belen,Choque,HERIDO,04,SABADO   ,17
In,Choque,SOLO DANOS,03,MARTES   ,0
Aranjuez,Caida ocupante,HERIDO,02,VIERNES  ,3
In,Choque,SOLO DANOS,11,LUNES    ,1
Corregimiento de Altavista,Choque,HERIDO,09,DOMINGO  ,0
Castilla,Volcamiento,HERIDO,05,DOMINGO  ,3
Villa Hermosa,Otro,HERIDO,04,LUNES    ,4
San Javier,Choque,SOLO DANOS,12,MIERCOLES,11
Castilla,Atropello,MUERTO,12,VIERNES  ,0
Popular,Caida ocupante,HERIDO,05,SABADO   ,1
Buenos Aires,Volcamiento,HERIDO,06,MARTES   ,4
El Poblado,Caida ocupante,HERIDO,06,DOMINGO  ,3
Santa Cruz,Choque,HERIDO,08,DOMINGO  ,6
Otro,Choque,HERIDO,10,MIERCOLES,0
La Candelaria,Atropello,HERIDO,07,MARTES   ,30
Corregimiento de San Cristobal,Caida ocupante,HERIDO,07,DOMINGO  ,2
Laureles Estadio,Choque,HERIDO,02,SABADO   ,42
Aranjuez,Choque,HERIDO,10,VIERNES  ,20
Doce de Octubre,Volcamiento,HERIDO,10,DOMINGO  ,0
Laureles Estadio,Caida ocupante,HERIDO,11,VIERNES  ,19
Corregimiento de San Antonio de Prado,Otro,HERIDO,04,MARTES   ,0
Aranjuez,Atropello,MUERTO,04,VIERNES  ,0
Robledo,Atropello,MUERTO,07,JUEVES   ,0
Popular,Choque,SOLO DANOS,03,DOMINGO  ,1
Aranjuez,Otro,HERIDO,11,SABADO   ,3
El Poblado,Otro,HERIDO,04,MIERCOLES,13
Guayabal,Choque,SOLO DANOS,05,MIERCOLES,45
Laureles Estadio,Choque,SOLO DANOS,01,MARTES   ,79
Buenos Aires,Volcamiento,HERIDO,10,JUEVES   ,2
Corregimiento de San Cristobal,Choque,HERIDO,05,DOMINGO  ,2
Laureles Estadio,Atropello,HERIDO,12,SABADO   ,19
La Candelaria,Atropello,HERIDO,11,JUEVES   ,23
Corregimiento de San Cristobal,Caida ocupante,HERIDO,10,VIERNES  ,4
Doce de Octubre,Atropello,HERIDO,04,VIERNES  ,8
Santa Cruz,Atropello,HERIDO,06,MARTES   ,0
Aranjuez,Choque,HERIDO,01,MIERCOLES,33
La Candelaria,Volcamiento,HERIDO,07,DOMINGO  ,1
Laureles Estadio,Otro,HERIDO,03,MARTES   ,18
Laureles Estadio,Otro,HERIDO,11,LUNES    ,12
Robledo,Caida ocupante,HERIDO,03,MIERCOLES,23
Aranjuez,Choque,MUERTO,05,LUNES    ,1
Corregimiento de San Cristobal,Otro,HERIDO,07,LUNES    ,4
Santa Cruz,Caida ocupante,HERIDO,06,VIERNES  ,1
Laureles Estadio,Volcamiento,HERIDO,10,DOMINGO  ,2
El Poblado,Otro,SOLO DANOS,06,SABADO   ,0
Belen,Volcamiento,HERIDO,07,JUEVES   ,5
El Poblado,Volcamiento,HERIDO,11,DOMINGO  ,1
Otro,Atropello,HERIDO,07,MARTES   ,0
Manrique,Caida ocupante,HERIDO,10,JUEVES   ,9
Manrique,Otro,HERIDO,04,DOMINGO  ,6
Popular,Caida ocupante,HERIDO,11,MARTES   ,1
Corregimiento de San Cristobal,Atropello,MUERTO,04,SABADO   ,0
El Poblado,Atropello,HERIDO,07,LUNES    ,0
Belen,Caida ocupante,HERIDO,08,MIERCOLES,8
Guayabal,Otro,HERIDO,12,MARTES   ,3
Popular,Choque,MUERTO,08,VIERNES  ,0
San Javier,Choque,MUERTO,12,VIERNES  ,0
Castilla,Otro,SOLO DANOS,02,LUNES    ,0
Laureles Estadio,Choque,SOLO DANOS,11,SABADO   ,89
San Javier,Caida ocupante,HERIDO,12,MARTES   ,2
La Candelaria,Atropello,MUERTO,01,MIERCOLES,0
Belen,Choque,HERIDO,07,LUNES    ,31
La America,Atropello,HERIDO,04,DOMINGO  ,1
Otro,Choque,SOLO DANOS,08,MIERCOLES,0
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,10,MIERCOLES,6
Guayabal,Atropello,HERIDO,01,VIERNES  ,7
La America,Choque,MUERTO,09,VIERNES  ,0
Otro,Atropello,HERIDO,11,JUEVES   ,0
La Candelaria,Caida ocupante,HERIDO,01,JUEVES   ,14
El Poblado,Caida ocupante,HERIDO,01,MIERCOLES,1
Robledo,Otro,HERIDO,10,DOMINGO  ,10
Santa Cruz,Volcamiento,HERIDO,08,LUNES    ,0
Corregimiento de San Cristobal,Choque,SOLO DANOS,07,MARTES   ,10
Belen,Caida ocupante,HERIDO,03,LUNES    ,2
Santa Cruz,Choque,SOLO DANOS,05,DOMINGO  ,1
Laureles Estadio,Choque,HERIDO,05,LUNES    ,30
La Candelaria,Caida ocupante,HERIDO,07,SABADO   ,20
La Candelaria,Otro,HERIDO,01,VIERNES  ,26
El Poblado,Otro,HERIDO,01,SABADO   ,4
In,Otro,HERIDO,02,LUNES    ,0
La Candelaria,Choque,SOLO DANOS,01,JUEVES   ,145
Corregimiento de San Cristobal,Incendio,SOLO DANOS,10,JUEVES   ,0
Corregimiento de Altavista,Choque,SOLO DANOS,05,LUNES    ,0
San Javier,Caida ocupante,HERIDO,09,LUNES    ,4
Laureles Estadio,Volcamiento,HERIDO,02,VIERNES  ,2
Castilla,Otro,SOLO DANOS,04,SABADO   ,1
Aranjuez,Otro,HERIDO,06,MARTES   ,7
Corregimiento de San Antonio de Prado,Volcamiento,HERIDO,03,SABADO   ,0
El Poblado,Volcamiento,HERIDO,03,VIERNES  ,3
Corregimiento de San Cristobal,Atropello,HERIDO,12,VIERNES  ,4
Popular,Caida ocupante,HERIDO,04,JUEVES   ,4
Otro,Choque,SOLO DANOS,03,LUNES    ,0
Corregimiento de Santa Elena,Volcamiento,HERIDO,06,VIERNES  ,1
Belen,Choque,HERIDO,09,SABADO   ,27
Guayabal,Otro,HERIDO,05,JUEVES   ,9
In,Choque,SOLO DANOS,08,MARTES   ,0
Manrique,Choque,HERIDO,10,DOMINGO  ,18
Popular,Atropello,HERIDO,02,DOMINGO  ,8
La Candelaria,Volcamiento,HERIDO,02,MIERCOLES,6
Buenos Aires,Choque,SOLO DANOS,03,LUNES    ,17
Laureles Estadio,Choque,HERIDO,01,JUEVES   ,41
Villa Hermosa,Otro,HERIDO,09,LUNES    ,3
Villa Hermosa,Choque,SOLO DANOS,12,JUEVES   ,11
La Candelaria,Choque,HERIDO,01,DOMINGO  ,24
Castilla,Atropello,HERIDO,05,DOMINGO  ,7
San Javier,Caida ocupante,HERIDO,05,JUEVES   ,2
Corregimiento de San Cristobal,Volcamiento,HERIDO,11,DOMINGO  ,1
Aranjuez,Choque,SOLO DANOS,01,VIERNES  ,30
Aranjuez,Otro,HERIDO,10,JUEVES   ,9
Robledo,Otro,HERIDO,02,VIERNES  ,14
Laureles Estadio,Choque,HERIDO,07,SABADO   ,41
Guayabal,Volcamiento,HERIDO,05,VIERNES  ,5
Popular,Otro,HERIDO,05,MIERCOLES,3
Manrique,Choque,SOLO DANOS,03,MARTES   ,14
Corregimiento de Altavista,Choque,SOLO DANOS,07,SABADO   ,0
Manrique,Choque,SOLO DANOS,11,LUNES    ,8
Corregimiento de San Antonio de Prado,Otro,HERIDO,09,MARTES   ,0
Laureles Estadio,Atropello,HERIDO,11,JUEVES   ,7
Robledo,Volcamiento,HERIDO,04,MIERCOLES,2
Corregimiento de Altavista,Choque,HERIDO,01,SABADO   ,0
Robledo,Atropello,HERIDO,07,LUNES    ,9
Popular,Choque,SOLO DANOS,08,DOMINGO  ,4
Otro,Choque,SOLO DANOS,05,SABADO   ,0
Villa Hermosa,Volcamiento,HERIDO,12,JUEVES   ,0
Corregimiento de San Antonio de Prado,Caida ocupante,HERIDO,01,MIERCOLES,0
El Chagualo,Choque,MUERTO,06,LUNES    ,0
La America,Otro,HERIDO,05,MIERCOLES,10
Otro,Choque,MUERTO,01,DOMINGO  ,0
Florida Nueva,Choque,MUERTO,06,DOMINGO  ,0
San Javier,Choque,SOLO DANOS,04,MARTES   ,3
San Javier,Choque,SOLO DANOS,12,LUNES    ,7
Buenos Aires,Choque,SOLO DANOS,05,SABADO   ,19
Doce de Octubre,Atropello,HERIDO,09,VIERNES  ,5
Guayabal,Caida ocupante,HERIDO,12,MARTES   ,2
Aranjuez,Choque,HERIDO,06,MIERCOLES,21
Corregimiento de San Antonio de Prado,Choque,HERIDO,11,MIERCOLES,6
Belen,Atropello,MUERTO,12,VIERNES  ,0
Otro,Choque,HERIDO,10,LUNES    ,1
Corregimiento de Santa Elena,Choque,SOLO DANOS,12,MARTES   ,0
Corregimiento de Santa Elena,Otro,HERIDO,05,MARTES   ,1
Laureles Estadio,Caida ocupante,HERIDO,07,MIERCOLES,14
Laureles Estadio,Otro,HERIDO,08,MARTES   ,22
Manrique,Caida ocupante,HERIDO,01,DOMINGO  ,5
Castilla,Caida ocupante,HERIDO,10,DOMINGO  ,16
Manrique,Choque,HERIDO,02,VIERNES  ,11
Robledo,Caida ocupante,HERIDO,08,MIERCOLES,17
San Javier,Volcamiento,HERIDO,03,LUNES    ,0
Laureles Estadio,Choque,SOLO DANOS,10,JUEVES   ,81
MUERTO,Choque,Malla vial,05,LUNES    ,0
Manrique,Otro,HERIDO,09,DOMINGO  ,6
Villa Hermosa,Choque,HERIDO,11,VIERNES  ,13
El Poblado,Otro,HERIDO,04,LUNES    ,3
Guayabal,Choque,SOLO DANOS,05,LUNES    ,54
Corregimiento de San Cristobal,Volcamiento,HERIDO,03,VIERNES  ,0
Doce de Octubre,Atropello,HERIDO,12,MIERCOLES,5
San Javier,Choque,HERIDO,05,DOMINGO  ,8
Doce de Octubre,Volcamiento,HERIDO,07,VIERNES  ,1
La America,Caida ocupante,HERIDO,01,MIERCOLES,3
Doce de Octubre,Caida ocupante,HERIDO,11,MIERCOLES,6
Aranjuez,Choque,HERIDO,01,LUNES    ,16
Aranjuez,Choque,MUERTO,06,JUEVES   ,0
Castilla,Volcamiento,HERIDO,05,MIERCOLES,2
La America,Atropello,HERIDO,09,DOMINGO  ,0
Doce de Octubre,Choque,HERIDO,10,SABADO   ,10
AU,Atropello,HERIDO,11,DOMINGO  ,0
Guayabal,Atropello,HERIDO,06,VIERNES  ,4
La Candelaria,Caida ocupante,HERIDO,06,JUEVES   ,23
El Poblado,Caida ocupante,HERIDO,06,MIERCOLES,6
Villa Hermosa,Caida ocupante,HERIDO,12,JUEVES   ,4
Robledo,Caida ocupante,HERIDO,03,LUNES    ,12
Guayabal,Atropello,MUERTO,04,MARTES   ,0
Otro,Choque,SOLO DANOS,11,MARTES   ,0
Buenos Aires,Choque,HERIDO,01,VIERNES  ,11
Villa Hermosa,Choque,HERIDO,02,MIERCOLES,8
El Poblado,Atropello,HERIDO,08,JUEVES   ,6
Popular,Otro,HERIDO,02,SABADO   ,4
San Javier,Volcamiento,HERIDO,05,SABADO   ,0
Belen,Otro,HERIDO,04,DOMINGO  ,13
Buenos Aires,Choque,SOLO DANOS,11,MARTES   ,23
Castilla,Otro,SOLO DANOS,03,JUEVES   ,0
Doce de Octubre,Volcamiento,HERIDO,10,MIERCOLES,2
Belen,Caida ocupante,HERIDO,08,LUNES    ,12
La Candelaria,Otro,HERIDO,06,VIERNES  ,22
Robledo,Choque,MUERTO,09,LUNES    ,0
Doce de Octubre,Otro,HERIDO,11,VIERNES  ,3
El Poblado,Otro,HERIDO,06,SABADO   ,8
Castilla,Caida ocupante,HERIDO,02,VIERNES  ,6
La Candelaria,Choque,SOLO DANOS,06,JUEVES   ,178
Aranjuez,Volcamiento,HERIDO,02,MIERCOLES,1
Belen,Choque,HERIDO,08,JUEVES   ,23
Laureles Estadio,Volcamiento,HERIDO,07,VIERNES  ,1
El Poblado,Volcamiento,HERIDO,08,VIERNES  ,4
La Candelaria,Atropello,MUERTO,01,LUNES    ,1
Buenos Aires,Otro,HERIDO,01,VIERNES  ,10
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,02,MARTES   ,2
Popular,Caida ocupante,HERIDO,09,JUEVES   ,2
Otro,Choque,SOLO DANOS,08,LUNES    ,2
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,10,LUNES    ,11
El Poblado,Caida ocupante,HERIDO,01,LUNES    ,3
Villa Hermosa,Choque,SOLO DANOS,03,DOMINGO  ,9
Villa Hermosa,Choque,MUERTO,02,JUEVES   ,0
Buenos Aires,Choque,SOLO DANOS,08,LUNES    ,20
San Javier,Atropello,HERIDO,12,VIERNES  ,4
Belen,Choque,SOLO DANOS,08,MARTES   ,60
Laureles Estadio,Choque,HERIDO,06,JUEVES   ,43
Robledo,Caida ocupante,HERIDO,05,SABADO   ,10
Doce de Octubre,Otro,HERIDO,02,MIERCOLES,3
La Candelaria,Choque,HERIDO,06,DOMINGO  ,36
Robledo,Choque,SOLO DANOS,06,VIERNES  ,32
Corregimiento de Altavista,Otro,HERIDO,01,VIERNES  ,0
Laureles Estadio,Volcamiento,HERIDO,10,MIERCOLES,3
Guayabal,Choque,HERIDO,02,JUEVES   ,37
Corregimiento de San Cristobal,Choque,SOLO DANOS,03,DOMINGO  ,3
Aranjuez,Choque,SOLO DANOS,06,VIERNES  ,39
Villa Hermosa,Atropello,HERIDO,11,VIERNES  ,1
Corregimiento de San Cristobal,Atropello,HERIDO,08,MIERCOLES,0
Laureles Estadio,Atropello,HERIDO,02,DOMINGO  ,2
Robledo,Otro,HERIDO,07,VIERNES  ,16
Doce de Octubre,Choque,SOLO DANOS,05,DOMINGO  ,9
Otro,Choque,SOLO DANOS,04,JUEVES   ,1
La America,Choque,MUERTO,12,LUNES    ,0
El Poblado,Choque,HERIDO,01,VIERNES  ,26
Castilla,Otro,HERIDO,02,SABADO   ,16
La America,Volcamiento,HERIDO,10,JUEVES   ,0
Villa Hermosa,Volcamiento,HERIDO,03,DOMINGO  ,1
Corregimiento de Altavista,Caida ocupante,HERIDO,07,SABADO   ,0
Manrique,Choque,SOLO DANOS,08,MARTES   ,19
San Javier,Atropello,HERIDO,03,MIERCOLES,4
Popular,Atropello,HERIDO,10,VIERNES  ,6
Corregimiento de Altavista,Choque,HERIDO,06,SABADO   ,0
Buenos Aires,Choque,SOLO DANOS,04,JUEVES   ,22
Robledo,Volcamiento,HERIDO,09,MIERCOLES,4
Castilla,Volcamiento,HERIDO,02,SABADO   ,7
La Candelaria,Atropello,MUERTO,03,SABADO   ,0
Santa Cruz,Caida ocupante,HERIDO,11,SABADO   ,1
Doce de Octubre,Choque,MUERTO,04,DOMINGO  ,1
La Candelaria,Volcamiento,HERIDO,02,LUNES    ,7
El Poblado,Otro,HERIDO,12,MARTES   ,6
Corregimiento de San Antonio de Prado,Caida ocupante,HERIDO,06,MIERCOLES,2
La America,Atropello,HERIDO,04,MIERCOLES,2
El Poblado,Caida ocupante,HERIDO,03,SABADO   ,7
Villa Hermosa,Otro,SOLO DANOS,03,MIERCOLES,0
Santa Cruz,Choque,HERIDO,05,SABADO   ,3
San Javier,Choque,SOLO DANOS,09,MARTES   ,6
Doce de Octubre,Choque,HERIDO,05,MARTES   ,12
